OID_	base_bbl	bin	cnstrct_yr	doitt_id	feat_code	geomsource	globalid	groundelev	heightroof	date_lstmo	time_lstmo	lststatype	mpluto_bbl	name	shape_area	shape_len	bin_c	AREA	MEAN	USR_MWh	ElcPrd_MWh
7410	1014470001	1085187	1961	181531	2100	Other (Man	{39A80CD4-E1B3-49CD-98FC-04C807833F8B}	43	66	8/22/2017 0:00	00:00.0	Constructed	1014477501	 	8158.124559	0	1085187	3700	905.5865825	311.2877633	42.83319623
7415	1016040006	1083920	1963	406992	2100	Photogramm	{7B5855EA-0990-4F6C-B012-A223D6507C5B}	60	199.09	8/22/2017 0:00	00:00.0	Constructed	1016040006	 	14333.07893	0	1083920	7400	1020.076341	701.2853077	96.49685833
7431	1008390050	1081017	1990	708214	2100	Other (Man	{07E07402-C955-4B7A-862B-CDF19228A849}	77	391	8/22/2017 0:00	00:00.0	Constructed	1008397501	 	24291.48055	0	1081017	3500	1000.160671	325.2131985	44.74933611
7440	1015390001	1048916	2016	1258649	2100	Photogramm	{E5A0E348-2D49-4B7A-ACF4-43450E24AC29}	52	302.35	4/3/2019 0:00	00:00.0	Constructed	1015397502	 	20856.00813	0	1048916	9500	962.8902941	849.8274598	116.9362585
7447	1015600021	1050368	1966	394000	2100	Photogramm	{E55C0593-B9D7-42FA-AAFF-B37A048348E0}	38	215.7257059	8/22/2017 0:00	00:00.0	Constructed	1015600021	 	11884.90384	0	1050368	5100	1005.416642	476.3723996	65.54884218
7454	1015850008	1051342	1920	481058	2100	Photogramm	{A813A231-834E-499C-B61D-D04FEB96B961}	24	60.38	8/22/2017 0:00	00:00.0	Constructed	1015850008	 	8541.60492	0	1051342	7200	1111.259571	743.3243448	102.2814298
7455	1015010056	1046978	1929	788824	2100	Photogramm	{DC329BFB-E0CD-43D1-B936-9E349A8FD7F8}	107	134.13	8/22/2017 0:00	00:00.0	Constructed	1015010056	 	11701.55729	0	1046978	4700	1015.704182	443.5018586	61.02585574
7459	1014650021	1045818	1966	693350	2100	Photogramm	{3059ACAC-70AC-4F08-9FC4-44E1C116D9AA}	37	332.21	8/22/2017 0:00	00:00.0	Constructed	1014650021	 	24772.93656	0	1045818	4000	1055.116429	392.0944747	53.95219972
7465	1010250036	1076200	1916	543104	2100	Other (Man	{74904462-6A15-434B-AA80-BD5DF47122C8}	73	151	8/22/2017 0:00	00:00.0	Constructed	1010257501	 	11710.81446	0	1076200	100	827.3897705	7.686709933	1.057691287
7467	1000420031	1001015	1912	664329	2100	Photogramm	{C9D7B6C5-45F6-4347-9970-FE9E3C72F733}	14	330.74	8/22/2017 0:00	00:00.0	Constructed	1000420031	 	19578.31048	0	1001015	4000	898.8893295	334.0385286	45.96370154
7470	1016100023	1078840	1954	179480	2100	Photogramm	{575DA9EA-1756-4134-AEC4-903D7575FCDA}	15	150.47	8/22/2017 0:00	00:00.0	Constructed	1016100023	 	10908.75194	0	1078840	5700	1039.795273	550.6213414	75.76549658
7475	1005770071	1009722	1900	279937	2100	Photogramm	{86E571BE-347A-40DD-B4F7-BB9FE804D98E}	28	140.02	8/22/2017 0:00	00:00.0	Constructed	1005770071	 	10678.50173	0	1009722	5900	1082.60323	593.4056483	81.6526172
7479	1006930018	1080298	1931	268239	2100	Photogramm	{DCEF8FC3-DCD0-4287-B603-CFA9FB97E60E}	8	28.32	8/22/2017 0:00	00:00.0	Constructed	1006930018	 	12320.95719	0	1080298	8700	971.2397945	785.0115861	108.0175943
7482	1000240001	1000817	1961	43141	2100	Photogramm	{832FCAA0-74F5-48F4-933A-88173393EAF9}	13	470	8/22/2017 0:00	00:00.0	Constructed	1000240001	 	44779.26687	0	1000817	6700	946.6463778	589.2409565	81.07955561
