cz_num,cz_name_all,n,Low roof building,In IBZ/low-rise manufacturing zone,Low-rise residential zone,In historic district,Owner owns other nearby buildings,In federal disadvantaged community,LL97 covered building,High solar radiation pootential,In state disadvantaged community,avg_suitability,avg_energy_MWh,total_energy_MWh
24,Ocean Hill - Brownsville,66,0.803030303030303,0.7121212121212122,0.030303030303030304,NA,0.24242424242424243,0.8484848484848485,0.4696969696969697,0.2840909090909091,1,6.757575757575758,262.6124125134379,17332.4192258869
25,JFK 1,11,0.5909090909090909,1,NA,NA,1,NA,1,0.8409090909090909,NA,9.545454545454545,1375.2005223069546,15127.2057453765
26,JFK 2,6,0.9166666666666666,1,NA,NA,1,NA,1,0.625,NA,9.333333333333334,956.1081594195,5736.6489565169995
27,JFK 3,6,0.5833333333333334,1,NA,NA,1,NA,1,0.9166666666666666,NA,9.833333333333334,2252.5945013228334,13515.567007937
28,East New York - Flatlands IBZ,96,0.9166666666666666,0.8229166666666666,0.10416666666666667,NA,0.265625,0.6979166666666666,0.4270833333333333,0.3958333333333333,1,7.427083333333333,469.3898331762344,45061.4239849185
29,Canarsie - Flatlands IBZ,146,0.7397260273972602,0.5342465753424658,0.4315068493150685,NA,0.4212328767123288,0.952054794520548,0.6027397260273972,0.3065068493150685,0.9383561643835616,7.609589041095891,420.7380018862062,61427.7482753861
3,Inwood,58,0.5775862068965517,0.2413793103448276,0.15517241379310345,NA,0.3103448275862069,0.6379310344827587,0.7931034482758621,0.3232758620689655,0.5689655172413793,6.258620689655173,424.92977925195515,24645.9271966134
30,JFK 4,11,0.5,1,NA,NA,1,NA,1,0.7727272727272727,NA,9.090909090909092,2327.0711618614273,25597.7827804757
31,Gowanus - Sunset Park,283,0.6802120141342756,0.8798586572438163,0.0812720848056537,NA,0.26855123674911663,0.26148409893992935,0.5830388692579506,0.3401060070671378,0.950530035335689,6.597173144876325,358.3319043454777,101407.9289297702
32,Port Richmond - West Brighton,10,0.9,0.6,0.2,NA,0.3,1,0.3,0.4,1,7.4,566.0176,5660.176
33,Mariners Harbor - Portside,10,0.85,1,NA,NA,0.85,NA,0.9,0.575,1,9.5,1109.056,11090.56
34,Bath Beach,13,0.8076923076923077,0.07692307692307693,NA,NA,0.7692307692307693,1,0.9230769230769231,0.4230769230769231,1,8.76923076923077,435.8612073419231,5666.195695445
35,Gravesend,18,0.7222222222222222,0.2222222222222222,0.3888888888888889,NA,0.6111111111111112,1,0.4444444444444444,0.3888888888888889,0.9444444444444444,7.666666666666667,587.1053037812777,10567.895468063
4,Claremont Park East,61,0.7295081967213115,0.7049180327868853,0.09836065573770492,NA,0.2540983606557377,0.9344262295081968,0.5081967213114754,0.2581967213114754,0.9344262295081968,6.688524590163935,237.42973406419017,14483.2137779156
5,Crotona Park East,64,0.6171875,0.015625,0.078125,NA,0.1875,1,0.734375,0.19140625,1,5.9375,202.16507015858437,12938.5644901494
6,Highbridge - Macombs Dam,62,0.5887096774193549,NA,NA,0.1935483870967742,0.1532258064516129,1,0.8064516129032258,0.1532258064516129,1,5.903225806451613,224.24003686696935,13902.8822857521
7,Soundview,24,0.5208333333333334,NA,0.75,NA,0.5833333333333334,1,0.9583333333333334,0.3020833333333333,1,8.083333333333334,381.7266267644671,9161.43904234721
8,Westchester Creek,202,0.7252475247524752,0.5891089108910891,0.37623762376237624,NA,0.37376237623762376,0.9108910891089109,0.5495049504950495,0.31683168316831684,0.9356435643564357,7.376237623762377,368.5153179290777,74440.0942216737
9,Mott Haven,39,0.5256410256410257,0.5384615384615384,0.10256410256410256,NA,0.5512820512820513,0.9743589743589743,0.7435897435897436,0.25,1,7.256410256410256,250.2457778477795,9759.585336063401
Not in a CZ,Not in a CZ,22347,0.510113214301696,0.15568085201593054,0.3907012126907415,0.05016333288584597,0.24162079921242224,0.5124932831810854,0.7399203472501902,0.1817246162795901,0.48293927995701236,5.301516982145254,173.82111222600298,3884380.394914489
All,All,25530,0.5368781825303565,0.22338425381903643,0.3616137877007442,0.04492753623188406,0.2500195848021935,0.5399568881050363,0.7194281237759499,0.19982373678025853,0.5354889280815207,NA,NA,NA
