OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,USR_MWh,ElcPrd_MWh
14044,2032580013,2015803.000000000000000,1962.000000000000000,508393.000000000000000,2100.000000000000000,Photogramm,{D5E78AE3-1521-4007-BE2A-5EB7893328F9},119.000000000000000,70.159999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,2032580013, ,13711.510009800000262,0.000000000000000,2015803,7300.000000000000000,1172.313540939999939,795.054659451000020,109.399521140000004
14059,2049930027,2068023.000000000000000,1929.000000000000000,433950.000000000000000,2100.000000000000000,Photogramm,{D1A5F65C-6F5C-41F8-94D4-F52B59232A33},102.000000000000000,16.710000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,2049930027, ,9521.474620459999642,0.000000000000000,2068023,8200.000000000000000,1081.865814210000053,824.171506287000057,113.405999265000005
14063,2028770001,2092104.000000000000000,1950.000000000000000,286825.000000000000000,2100.000000000000000,Photogramm,{15475AF4-B821-4E77-9599-070EB974D9D3},151.000000000000000,124.762378659999996,8/22/2017 0:00:00,00:00:00.000,Constructed,2028770001, ,11072.377721999999267,0.000000000000000,2092104,3500.000000000000000,1002.120329940000033,325.850403180000001,44.837015477599998
14064,2026380090,2091958.000000000000000,1960.000000000000000,4040.000000000000000,2100.000000000000000,Photogramm,{311D350F-F036-475C-B3BC-E7B6EC808809},58.000000000000000,143.180000000000007,4/20/2018 0:00:00,00:00:00.000,Constructed,2026380090, ,9840.471571800000675,0.000000000000000,2091958,1300.000000000000000,1094.743713379999917,132.216652643999993,18.193011403800000
14075,2051350051,2093860.000000000000000,1969.000000000000000,761791.000000000000000,2100.000000000000000,Photogramm,{C16D5792-886C-4895-9B0D-0E9A6B2F3386},17.000000000000000,289.029999999999973,8/22/2017 0:00:00,00:00:00.000,Constructed,2051350051,34,15777.865619899999729,0.000000000000000,2093860,1900.000000000000000,1122.156866779999973,198.078581823000007,27.255612858799999
14093,2027360189,2005910.000000000000000,1920.000000000000000,863314.000000000000000,2100.000000000000000,Photogramm,{4C18B48A-5A42-43F9-BB97-1E2065AA7CCA},22.000000000000000,30.750000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,2027360189, ,20250.792211899999529,0.000000000000000,2005910,17100.000000000000000,1164.695055149999916,1850.285253770000054,254.599250919000013
14097,2033270001,2096396.000000000000000,1972.000000000000000,348306.000000000000000,2100.000000000000000,Photogramm,{D51517A0-00E8-402B-8AB7-03534138B38B},180.000000000000000,49.909999999999997,2/14/2009 0:00:00,00:00:00.000,Constructed,2033270001, ,9249.567301209999641,0.000000000000000,2096396,3700.000000000000000,1079.385667960000092,371.029735640000013,51.053691624099997
14106,2028430065,2008099.000000000000000,1923.000000000000000,432842.000000000000000,2100.000000000000000,Photogramm,{396B91B4-028C-4061-BF08-552508CC1861},71.000000000000000,57.537889700000001,8/22/2017 0:00:00,00:00:00.000,Constructed,2028430065, ,8181.395136359999924,0.000000000000000,2008099,3400.000000000000000,1157.722376209999993,365.690509862999988,50.319014157100000
14107,2057600134,2087576.000000000000000,1974.000000000000000,54883.000000000000000,2100.000000000000000,Photogramm,{7313F6D5-6A2B-4586-B521-ED09783D79E5},16.000000000000000,52.320000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,2057600134, ,14347.679620099999738,0.000000000000000,2087576,9400.000000000000000,1169.705931969999938,1021.491816210000025,140.557273909999992
14126,2038310040,2027115.000000000000000,1987.000000000000000,375995.000000000000000,2100.000000000000000,Photogramm,{C42F8E9B-0DAA-4310-B1DB-A9F870371B63},18.000000000000000,26.699999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,2038310040, ,15891.303319099999499,0.000000000000000,2027115,11600.000000000000000,1187.933021280000048,1280.207271239999955,176.156520523000012
