OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,Us_SR_MWh,ElcPrd_MWh
5845,5007700009,5106947.000000000000000,1961.000000000000000,308226.000000000000000,2100.000000000000000,Photogramm,{F746AF75-E9D1-4B34-9184-B8EC0D78BDAC},209.000000000000000,27.730000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5007700009, ,10985.302771299999222,0.000000000000000,5106947,8000.000000000000000,1181.845000459999937,878,120.812799999999996
5850,5054320001,5070222.000000000000000,1931.000000000000000,611235.000000000000000,2100.000000000000000,Photogramm,{813AD1F7-9CBD-4A1A-B980-4AC1E0042707},61.000000000000000,48.030000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5054320001, ,12874.552824700000201,0.000000000000000,5070222,6600.000000000000000,1175.470431239999925,721,99.209599999999995
5915,5001870052,5005146.000000000000000,1930.000000000000000,835415.000000000000000,2100.000000000000000,Photogramm,{63F47A33-71D8-46FD-8357-837E07A07C54},27.000000000000000,25.039999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5001870052, ,8576.407708279999497,0.000000000000000,5005146,7000.000000000000000,1192.189842880000015,775,106.640000000000001
5940,5010860008,5129634.000000000000000,1997.000000000000000,930184.000000000000000,2100.000000000000000,Photogramm,{54852738-E28A-4F73-B1F4-DF6EBAFB206B},16.000000000000000,30.420000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,5010860008, ,9077.642847709999842,0.000000000000000,5129634,5900.000000000000000,1135.872820320000073,623,85.724800000000002
5985,5000050057,5000026.000000000000000,1930.000000000000000,840986.000000000000000,2100.000000000000000,Photogramm,{4A277588-0271-4745-B004-711A9DC54555},84.000000000000000,71.700000000000003,8/22/2017 0:00:00,00:00:00.000,Constructed,5000050057, ,10356.665100899999743,0.000000000000000,5000026,4100.000000000000000,1149.815213829999948,438,60.268799999999999
6034,5011500041,5026546.000000000000000,1931.000000000000000,649044.000000000000000,2100.000000000000000,Photogramm,{8EE9AD18-F18A-409C-BC6C-DF0EE01F7764},14.000000000000000,20.250000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5011500041, ,8964.332122789999630,0.000000000000000,5026546,8600.000000000000000,1169.444062699999904,934,128.518400000000014
6042,5020400300,5107319.000000000000000,1993.000000000000000,169378.000000000000000,2100.000000000000000,Photogramm,{B6E3E0B1-98EE-4145-97FB-9D4BB5986EA2},100.000000000000000,35.364826630000003,8/22/2017 0:00:00,00:00:00.000,Constructed,5020400300, ,12464.177499499999612,0.000000000000000,5107319,6600.000000000000000,1134.908564710000064,696,95.769599999999997
6060,5000760200,5113037.000000000000000,1900.000000000000000,166802.000000000000000,2100.000000000000000,Photogramm,{26247C5F-E519-4326-93ED-B201F71960FF},39.000000000000000,70.150000000000006,8/22/2017 0:00:00,00:00:00.000,Constructed,5000760200, ,9704.450933419999274,0.000000000000000,5113037,5200.000000000000000,1091.568529570000010,527,72.515199999999993
6090,5054330033,5095554.000000000000000,1990.000000000000000,381767.000000000000000,2100.000000000000000,Photogramm,{A4FC1C4F-DE60-4917-A196-1648D0B5B012},58.000000000000000,21.170000000000002,2/14/2009 0:00:00,00:00:00.000,Constructed,5054330033, ,9052.377617950000058,0.000000000000000,5095554,8400.000000000000000,1180.762097309999945,921,126.729600000000005
6162,5001850527,5159659.000000000000000,2008.000000000000000,1160867.000000000000000,2100.000000000000000,Photogramm,{00290E65-4C4B-4570-9E2C-BA5194867D8A},10.000000000000000,29.369015910000002,9/20/2013 0:00:00,00:00:00.000,Constructed,5001850527, ,15837.311789499999577,0.000000000000000,5159659,11400.000000000000000,1186.515408700000080,1257,172.963200000000001
6200,5007140015,5018078.000000000000000,1964.000000000000000,111475.000000000000000,2100.000000000000000,Photogramm,{F50EB200-D25E-4538-B535-F9F4DE870980},225.000000000000000,33.170000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,5007140015, ,16319.583401800000502,0.000000000000000,5018078,9200.000000000000000,1141.557012810000060,976,134.297599999999989
6213,5011610015,5107125.000000000000000,1945.000000000000000,717404.000000000000000,2100.000000000000000,Photogramm,{107ECCC0-5CEA-4989-842D-3811781E213C},32.000000000000000,18.239999999999998,8/22/2017 0:00:00,00:00:00.000,Constructed,5011610015, ,9215.514569110000593,0.000000000000000,5107125,7600.000000000000000,1187.346779270000070,838,115.308800000000005
6220,5021720033,5104062.000000000000000,1931.000000000000000,642530.000000000000000,2100.000000000000000,Photogramm,{38EA23A0-E945-4FC0-BC6E-35E03CA9FE5A},43.000000000000000,18.300000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5021720033, ,9205.906947839999702,0.000000000000000,5104062,9200.000000000000000,1098.142044729999952,939,129.206400000000002
6222,5052210001,5066295.000000000000000,1956.000000000000000,191316.000000000000000,2100.000000000000000,Photogramm,{CE387B36-F4F4-4255-9CA4-AA0288F32EEE},76.000000000000000,45.840000000000003,8/22/2017 0:00:00,00:00:00.000,Constructed,5052210001, ,24174.124197100001766,0.000000000000000,5066295,15400.000000000000000,1203.532074369999918,1722,236.947200000000009
6223,5010530138,5024943.000000000000000,1957.000000000000000,29807.000000000000000,2100.000000000000000,Photogramm,{A68EA8CF-ACFD-4719-9731-D4F2BF694629},27.000000000000000,36.677767430000003,8/22/2017 0:00:00,00:00:00.000,Constructed,5010530138, ,35784.725948200000857,0.000000000000000,5024943,32300.000000000000000,1146.784236940000028,3441,473.481600000000014
6238,5024600098,5127008.000000000000000,1966.000000000000000,291256.000000000000000,2100.000000000000000,Photogramm,{A49417E3-4341-4767-9134-1C557BF3BA1B},23.000000000000000,16.899999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5024600098, ,20113.071816399999079,0.000000000000000,5127008,19800.000000000000000,1186.623670169999968,2183,300.380800000000022
6251,5001860054,5145963.000000000000000,2002.000000000000000,982233.000000000000000,2100.000000000000000,Other (Man,{3B7FDBE9-A2AF-4860-ABC9-970E4F49668F},9.000000000000000,23.000000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5001860054, ,14712.543497700000444,0.000000000000000,5145963,13700.000000000000000,1161.369934970000031,1478,203.372800000000012
6258,5032230012,5091139.000000000000000,1976.000000000000000,369948.000000000000000,2100.000000000000000,Other (Man,{7A2ECD74-6E3E-4AA5-B7D8-078A82979CF6},26.000000000000000,27.000000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5032230012, ,60612.219104000003426,0.000000000000000,5091139,57800.000000000000000,1178.257305529999940,6327,870.595199999999977
6280,5007060001,5108965.000000000000000,1950.000000000000000,86348.000000000000000,2100.000000000000000,Photogramm,{A1536236-A23C-4D59-9A55-60011E741F2F},256.000000000000000,57.729999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,5007060001, ,10006.179114200000186,0.000000000000000,5108965,3400.000000000000000,1171.561877079999931,370,50.911999999999999
6294,5039830045,5105549.000000000000000,1968.000000000000000,642336.000000000000000,2100.000000000000000,Photogramm,{8A24C51A-99E0-4C35-925D-44DED48E0CBF},16.000000000000000,55.719999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5039830045, ,19642.663744099998439,0.000000000000000,5105549,12200.000000000000000,1173.816797980000047,1330,183.008000000000010
6326,5031570001,5046266.000000000000000,1973.000000000000000,632534.000000000000000,2100.000000000000000,Photogramm,{39FA0036-1AF4-430F-AB37-DE12326C09A9},94.000000000000000,65.969999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5031570001, ,25353.760766100000183,0.000000000000000,5046266,13400.000000000000000,1170.121879459999946,1457,200.483200000000011
6348,5006350001,5170701.000000000000000,2022.000000000000000,1293337.000000000000000,2100.000000000000000,Other (Man,{3710E658-BEDA-4E98-A59B-3B016BAFB8D5},66.000000000000000,60.000000000000000,8/2/2023 0:00:00,00:00:00.000,Constructed,5006350001, ,25716.886093599998276,0.000000000000000,5170701,17900.000000000000000,1109.831339750000097,1846,254.009600000000006
6382,5005260068,5013792.000000000000000,1977.000000000000000,812556.000000000000000,2100.000000000000000,Photogramm,{E2991486-D6C4-4B49-A027-022A011836BE},15.000000000000000,38.723518419999998,12/7/2018 0:00:00,00:00:00.000,Constructed,5005260068, ,9350.525546040000336,0.000000000000000,5013792,7900.000000000000000,1135.334862050000083,833,114.620800000000003
6394,5073280180,5155207.000000000000000,2000.000000000000000,489894.000000000000000,2100.000000000000000,Photogramm,{A376C9C4-8C93-485F-97C2-18448A23323C},57.000000000000000,20.070000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5073280180, ,12360.946379400000296,0.000000000000000,5155207,10500.000000000000000,1191.264723999999887,1162,159.891199999999998
6400,5005170030,5013580.000000000000000,1930.000000000000000,743216.000000000000000,2100.000000000000000,Photogramm,{4C720C00-BDB5-439C-85E2-DEE11F335704},70.000000000000000,74.500000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5005170030, ,14912.293422599999758,0.000000000000000,5013580,6500.000000000000000,1135.836797630000092,686,94.393600000000006
6407,5074000142,5095694.000000000000000,1991.000000000000000,404337.000000000000000,2100.000000000000000,Photogramm,{5155167A-7102-4131-B371-756F756A6147},41.000000000000000,31.609999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5074000142, ,15805.073970800000097,0.000000000000000,5095694,13300.000000000000000,1190.120539839999992,1471,202.409600000000012
6409,5054970007,5073190.000000000000000,1976.000000000000000,809424.000000000000000,2100.000000000000000,Photogramm,{45ED16FF-4551-47DB-9A82-F570A8F794F3},53.000000000000000,19.930000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5054970007, ,63210.517739900002198,0.000000000000000,5073190,62000.000000000000000,1173.005219590000024,6757,929.763199999999983
