bin,ElcPrd_MWh
1012565,40.35646027
1076215,57.57413796
1077844,74.77370165
1009014,76.45459126
1070014,42.36969695
1048918,44.10252355
1006221,144.0611702
1065321,180.5176019
1088435,120.405879
1085792,1090.954276
1087741,128.8251298
1087954,40.06749695
1032491,82.27390504
1012292,64.14379145
1086554,50.95418061
1002166,59.90340866
1087723,77.18944413
1051044,81.23301874
1088480,92.71134013
1071151,41.05577814
1075698,259.1998887
1014176,334.1053408
1065089,14.62946103
1026952,97.9108852
1085969,1.026576519
1019272,37.36658905
1088733,126.6347841
1038761,31.53165181
1025450,67.54810818
1081245,91.35280823
1002803,76.285305
1080621,127.0372613
1086543,196.1164701
1058390,92.82942455
1087746,39.12516634
1087513,30.91269144
1043902,71.39636799
1086171,0
1085964,0
1090373,0
1088916,1305.156568
1041901,31.50898495
1084704,179.8072758
1087651,20.94940974
1001228,22.56550103
1007201,39.28377454
1087939,116.6192934
1027195,38.89643834
1048078,51.04018432
1034537,29.31235618
1089722,29.32151792
1085766,44.69947902
1085769,50.0670661
1085412,56.54598894
1085768,34.59761581
1048523,78.21675329
1079000,347.1973994
1001674,315.5219988
1087213,89.78913259
1088116,60.8489924
1000055,157.875224
1032587,68.92100877
1063288,139.7893245
1076522,249.7034326
1070754,109.0667969
1069595,30.6434903
1089507,30.63587858
1076251,123.0929061
1033559,58.65758282
1089398,48.40107706
1086570,85.36032516
1087501,53.76563088
1088910,393.4512943
1001068,225.8083649
1090791,99.30376097
1070721,102.2730842
1080667,205.2954662
1013854,98.77834987
1090209,78.06214758
1000006,183.5368136
1001998,89.33365778
1013847,80.61637857
1009386,131.0244208
1045891,114.7746248
1089830,28.83147219
1085767,39.0913819
1085965,68.61902284
1088731,180.27309639999999
1070131,30.81625418
1032526,107.8197448
1088431,18.3565984
1059274,83.76218948
1056558,125.0864926
1085215,94.35910398
1082441,186.6158408
1005320,47.56116684
1084303,52.85009305
1087481,52.06425018
1001193,2.30494754
1023732,15.01234892
1016212,89.43172099
1001473,81.7817209
1067979,100.1332735
1045290,75.49002137
1087243,24.82935499
1087148,128.5376932
1026676,139.2690913
1012048,68.59460137
1085084,94.8271555
1015234,57.52273317
1020338,144.549574
1072630,67.68210156
1043179,51.85930456
1087654,127.8864392
1083811,104.0333462
1089496,218.4221202
1085651,16.01682534
1080855,51.3072824
1076172,0
1087142,108.6720867
1019522,67.14096634
1045588,21.80531327
1057091,72.6919555
1084387,412.9261788
1085922,885.5681564
1089110,136.7888075
1085710,90.2894442
1072007,14.79421277
1083718,10.61570934
1082167,157.7014827
1088574,181.0772499
1087841,108.5830763
1088442,23.25503976
1030903,377.2870222
1012181,418.4743144
1078985,13.70322157
1089108,89.45175578
1076776,440.7662108
1009095,85.42335718
1087295,36.76036432
1082120,94.59602803
1087779,97.98218402
1089653,247.312053
1002844,72.19197184
1042051,29.19294573
1084085,114.1288927
1026846,127.0910405
1083939,152.6821483
1055254,48.5869962
1085719,117.7848422
1015602,73.51142684
1087130,80.39004841
1088703,106.7685816
1001883,38.93719736
1087766,62.22602991
1088072,235.5936084
1014451,43.91278795
1081382,212.4426152
1075623,286.155376
1087516,220.7714152
1087674,36.26130836
1063518,123.2357906
1089696,138.1597462
1088438,180.3111138
1089837,22.66224204
1079058,74.91503905
1008529,122.5345754
1087447,141.5278231
1086548,77.57685375
1012850,81.88045721
1088709,98.4935447
1087253,47.29885055
1043163,51.63704757
1004768,101.1409456
1046261,56.85237231
1001115,4.631862067
1001389,152.0364398
1015146,31.49723569
1087267,10.65162876
1061189,111.7648345
1064114,90.37600329
1015235,125.5143609
1087054,86.91048429
1059927,408.8576818
1017990,64.86942022
1086533,863.8228626
1006642,150.4677757
1089329,103.7557568
1013558,170.4844929
1087835,72.34987345
1035407,62.55896995
1016064,81.07399194
1086133,29.83744309
1015198,19.75783165
1001263,76.0365099
1035776,13.75234111
1087636,33.9276524
1076175,74.4127969
1086197,520.8922172
1090735,85.33981348
1008789,103.4935766
1030545,185.0139552
1025213,179.9051984
1087537,133.2345286
1088114,59.12240999
1054626,105.8470574
1038550,40.31146719
1076276,8.194502989
1020579,65.65593628
1027463,81.12424049
1024736,31.0873204
1087675,61.06231563
1076307,76.07329944
1087587,419.7568917
1084696,67.19713723
1088686,95.57787426
1030352,40.48784975
1027160,160.1896072
1053368,113.1884803
1088745,74.32590012
1087548,30.14019927
1002818,46.00621656
1075794,149.6868315
1076254,63.45760651
1018549,119.4088358
1027183,1155.577657
1053900,88.0932863
1084702,192.0534309
1082868,186.1730921
1085734,149.3837913
1087691,85.66969428
1028827,45.64040948
1079357,170.355284
1089790,16.22351738
1087583,292.1910423
1090558,276.487437
1027146,127.9719765
1083345,0
1087313,136.7321252
1088845,86.01389625
1063279,124.8275045
1008182,78.04967527
1087763,149.4217287
1089237,20.31205323
1084068,117.3593512
1011692,212.7052293
1087847,23.79165348
1064395,97.1420494
1032499,185.3008937
1088293,95.05408247
1082349,78.697358500000007
1085591,144.2997605
1089323,45.20869403
1088833,21.48323964
1089704,140.1499241
1088821,93.97578907
1017839,115.1854438
1090254,224.8596155
1088215,157.3458116
1090711,46.06919552
1087126,102.1527881
1035780,20.65071869
1089443,261.8130753
1021923,54.94481578
1088913,487.5387295
1087220,49.38155686
1090670,89.26871488
1089412,85.39913381
1088826,29.08110831
1088934,1.025037883
1087125,119.0511631
1087217,43.58119826
1081868,20.86397427
1087521,122.5884687
1084722,230.6520764
1045277,38.6782919
1013606,30.09801382
1798091,124.0574337
1060196,1597.352312
1076262,237.0983263
1007223,168.8923419
1088790,14.72478176
1083923,439.4364886
1051311,40.32205749
1088559,30.05606704
1043780,32.56454579
1001022,21.92945853
1088439,59.30919028
1082350,250.2624332
1089853,109.1423637
1001629,59.74968055
1053262,100.2395778
1085650,112.755364
1087769,13.42226657
1088844,63.77158904
1089677,61.38578152
1090561,208.3712628
1000060,225.8832958
1077605,188.5324153
1012856,55.73870286
1089424,67.14417641
1053941,269.9096541
1089890,54.71226616
1090424,253.6567299
1090425,155.531133
1090427,328.2151382
1090426,604.627202
1001650,14.50907256
1090428,377.6230115
1090431,102.7037758
1090429,242.8038739
1012561,84.87130154
1090461,86.72619968
1090211,229.881724
1002430,119.2763987
1001831,238.0561376
1000047,14.61680942
1003704,91.41221321
1003224,331.6113789
1083708,177.0396877
1089295,66.14094829
1090216,35.64895866
1090190,228.7437296
1087283,67.393917
1077607,169.4668716
1018013,121.6643752
1091602,420.9924769
1090333,513.2402384
1090643,97.50900546
1090506,99.02611256
1089388,261.5997151
1090253,43.3964406
1089325,345.1660062
1090779,210.620246
1089917,60.28228993
1090338,500.7497567
1089808,164.9553322
1090299,444.8673839
1086088,145.1318132
1045990,156.6535293
1082871,113.5017493
1090160,121.7409618
1090481,52.73584328
1090645,113.7455349
1027163,596.2733082
1045148,120.5858128
1000057,285.507289
1046411,284.8436629
1083834,177.7019047
1087933,92.0321531
1000016,29.22586169
1084789,14601.87143
1088182,16.79218146
1084769,133.0784115
1089493,96.1063897
1084818,270.0752227
1090958,245.5642241
1087205,47.02076278
1085917,659.584571
1030342,252.1689897
1086432,0
1000871,140.5215308
1084721,6040.020806
1084819,248.7269791
1035384,0
1027056,226.996908
1015780,101.6563314
1083026,335.9555771
1086341,0
1088036,158.1813779
1088044,150.4402785
1084815,78.17224186
1089703,95.64071207
1087193,433.8721907
1089063,153.7773326
1010355,59.18296162
1061380,186.2867529
1053968,399.7378459
1063503,295.4662952
1061708,109.3514291
1063583,191.2825983
1082706,683.0069748
1063378,116.0667852
1081374,1151.479553
1061969,117.4103419
1088883,162.7707971
1089103,160.4235886
1088671,112.4827843
1089941,83.21688699
1088824,101.3755075
1052645,199.7002078
1088080,118.9533396
1088609,340.8919606
1089447,22.9065715
1046957,52.79590437
1059986,201.6143095
1084198,158.1472083
1089945,34.74556692
1088305,284.7960622
1088796,319.0959473
1089936,535.9292322
1089926,124.5170343
1063556,136.354343
1050296,138.1508999
1062692,118.4491351
1076750,186.5777829
1084028,330.9207434
1052997,225.0252964
1059526,213.0885749
1047627,43.11917005
1063862,125.3631389
1084325,173.8926935
1077604,179.609928
1026949,100.3794562
1019118,11.36213545
1086184,128.6469517
1046253,143.3654554
1020203,152.1447532
1015190,562.3177711
1040114,77.40954781
1083773,143.6318151
